file_name,input_size,average_cpu_util,execution_time
03.png,2677,9.390969656422897,0.5068292617797852
04.png,2988,9.390969656422897,0.618628740310669
05.png,3870,15.730138724258229,0.9936618804931641
06.png,4855,21.414534645729937,1.4689290523529053
07.png,23359,37.00561709225766,2.1049556732177734
08.png,26854,43.57001576385033,1.683478593826294
09.png,44189,27.223222586570458,2.2778289318084717
10.png,62155,34.83177109434193,3.2145168781280518
11.png,71329,42.38176629217752,7.042953014373779
12.png,76633,75.16014114226067,8.927075147628784
13.png,78053,59.23068660508929,8.974173545837402
14.png,79208,44.426777655259556,9.177339792251587
15.png,155349,43.19928242713497,11.801955938339233
16.png,197048,43.04109086684751,14.784469604492188
17.png,209291,48.38314507934586,15.784700632095337
18.png,225763,42.23600691092108,16.312737941741943
03.png,2677,2.604024522607,0.6154000759124756
04.png,2988,16.841205405147182,0.9180617332458496
05.png,3870,41.81240670210849,1.2042467594146729
06.png,4855,57.46032123876986,0.9824879169464111
07.png,23359,48.10054305074649,1.673509120941162
08.png,26854,35.24623277730625,1.7081749439239502
09.png,44189,24.227773396909434,2.9584200382232666
10.png,62155,46.56619265025413,2.901811361312866
11.png,71329,39.35648881202652,6.989928960800171
12.png,76633,56.59469777935038,8.507711410522461
13.png,78053,47.43544184762652,9.199099779129028
14.png,79208,41.62783438714526,9.343475103378296
15.png,155349,63.30658742835343,12.192144870758057
16.png,197048,38.59445055476284,15.607019901275635
17.png,209291,90.48297596711808,15.308170318603516
18.png,225763,42.06458174703555,17.080724239349365
03.png,2677,15.940743338072298,0.5149586200714111
04.png,2988,15.940743338072298,0.5576679706573486
05.png,3870,17.305795726437992,1.0232739448547363
06.png,4855,21.884187931270073,0.9602186679840088
07.png,23359,27.73523357622895,1.5445585250854492
08.png,26854,26.6207046428363,1.6062743663787842
09.png,44189,75.86821970691047,2.319912910461426
10.png,62155,46.4005215473276,2.8237674236297607
11.png,71329,39.290218733338875,6.953920602798462
12.png,76633,62.41687537661624,8.54501485824585
13.png,78053,76.64376758519319,9.449928760528564
14.png,79208,77.26452931961155,11.286947011947632
15.png,155349,91.70090421710526,11.683313846588135
16.png,197048,47.21671299443214,17.76033663749695
17.png,209291,66.76155426501921,16.54246687889099
18.png,225763,64.04905838689955,18.15590238571167
03.png,2677,56.71288155220387,0.5976560115814209
04.png,2988,56.71288155220387,0.6676316261291504
05.png,3870,60.704278438100346,1.6734697818756104
06.png,4855,60.07400593937928,1.330108404159546
07.png,23359,51.964738609653075,2.626335859298706
08.png,26854,91.47644711364403,4.643064737319946
09.png,44189,92.20632662595601,2.467883825302124
10.png,62155,45.58581527303595,2.99019455909729
11.png,71329,76.05120944399884,6.6291468143463135
12.png,76633,68.45195878647816,9.191217422485352
13.png,78053,71.28745099669949,11.066486835479736
14.png,79208,82.20150008872989,10.570005178451538
15.png,155349,78.08157433137205,18.2036874294281
16.png,197048,51.51851814957364,23.426452159881592
17.png,209291,46.575075517766926,20.134616136550903
18.png,225763,65.55445030639083,21.743300437927246
03.png,2677,65.22472343713034,0.6501064300537109
04.png,2988,66.611029475456,1.1539921760559082
05.png,3870,80.27327239446385,4.950405597686768
06.png,4855,99.97907264164553,1.9216179847717285
07.png,23359,71.48562253299502,3.881683349609375
08.png,26854,63.974390079255315,2.050550937652588
09.png,44189,44.41129099741301,2.310145854949951
10.png,62155,43.155042045823734,3.419703483581543
11.png,71329,79.08665247910079,11.645021200180054
12.png,76633,78.58740969779538,11.735262155532837
13.png,78053,76.782662554935,14.004485130310059
14.png,79208,80.80242582062354,14.802783727645874
15.png,155349,91.30321723988273,24.537299156188965
16.png,197048,88.59566845085263,29.02280855178833
17.png,209291,92.76629086623156,31.208027839660645
18.png,225763,89.21256358033925,32.42294359207153
03.png,2677,31.36553910043355,0.6152381896972656
04.png,2988,31.36553910043355,0.7406494617462158
05.png,3870,32.102253548729934,1.759260892868042
06.png,4855,59.25360080694293,4.751651048660278
07.png,23359,90.85331800108257,6.387015342712402
08.png,26854,94.405669641838,5.361490726470947
09.png,44189,91.83433672554581,8.80998682975769
10.png,62155,78.99653911213001,5.486230373382568
11.png,71329,57.32840776581702,18.559386253356934
12.png,76633,81.67686386322589,20.769229412078857
13.png,78053,93.97096450239209,24.790215969085693
14.png,79208,73.24865933985977,26.126117944717407
15.png,155349,98.67586196763988,28.89668107032776
16.png,197048,59.79539211093525,47.326358795166016
17.png,209291,95.62943895936627,45.97856616973877
18.png,225763,97.24460464990463,51.13499426841736
